Method,Best Top K,Best K %RMSE,Best K R²,All Features %RMSE,All Features R²
Linear Regression,130,24.59945177855029,0.9227196292644214,31.90765356219331,0.8699806244746806
XGBoost,40,49.64039661958406,0.6853057372301266,50.098369970794685,0.6794723267066602
NNLS,90,21.811845337523756,0.9392420434700519,30.04024519222214,0.884754152509907
