feature_idx,feature_name,pearson_r,pearson_p,pearson_abs,spearman_r,spearman_p,spearman_abs,feature_mean,feature_std,feature_min,feature_max
14,feature_14,0.8646634817123413,2.4945660481146823e-08,0.8646634817123413,0.8113778150308293,8.608593552279553e-07,0.8113778150308293,0.956217348575592,2.9499549865722656,-4.348362445831299,5.113373756408691
369,feature_369,0.8618624210357666,3.112197523859688e-08,0.8618624210357666,0.8430104783848578,1.2296453687589255e-07,0.8430104783848578,-2.825234889984131,3.947502374649048,-9.841949462890625,4.156630039215088
44,feature_44,0.8459001779556274,1.0080589731330014e-07,0.8459001779556274,0.8525002773910662,6.304649735705967e-08,0.8525002773910662,-0.5513260364532471,10.607601165771484,-24.999479293823242,12.84188461303711
125,feature_125,-0.8399441242218018,1.5117862394822584e-07,0.8399441242218018,-0.8343114959624998,2.1853869507204171e-07,0.8343114959624998,-1.8220546245574951,2.1796486377716064,-5.4154486656188965,1.965807557106018
87,feature_87,-0.828965425491333,3.0622892497704755e-07,0.828965425491333,-0.7836992345960544,3.59110726329738e-06,0.7836992345960544,-1.7354251146316528,4.875505447387695,-12.425416946411133,7.048215866088867
283,feature_283,-0.8254396319389343,3.8016311610049724e-07,0.8254396319389343,-0.787653317515308,2.966284355926156e-06,0.787653317515308,-0.2246108055114746,2.9907352924346924,-5.171588897705078,4.837647914886475
105,feature_105,-0.8223910331726074,4.5658907487679934e-07,0.8223910331726074,-0.8477553778879618,8.854390789044124e-08,0.8477553778879618,0.6909181475639343,2.211697578430176,-2.8247780799865723,6.353105068206787
60,feature_60,0.8207728266716003,5.025147767265417e-07,0.8207728266716003,0.8050512823600235,1.2168704876717187e-06,0.8050512823600235,1.675971269607544,1.5788260698318481,-1.4057730436325073,4.104679584503174
50,feature_50,0.8187646865844727,5.652399761132074e-07,0.8187646865844727,0.7394135059004145,2.4105013170874297e-05,0.7394135059004145,3.292933464050293,4.90728759765625,-7.331964492797852,10.529341697692871
341,feature_341,-0.8152185678482056,6.933320998147287e-07,0.8152185678482056,-0.7852808677637558,3.3283416133657883e-06,0.7852808677637558,-2.6376094818115234,3.2565066814422607,-8.206521987915039,2.805826425552368
176,feature_176,-0.8083884716033936,1.0154044911653907e-06,0.8083884716033936,-0.8216584306208885,4.768927084832436e-07,0.8216584306208885,-2.8641295433044434,2.7609000205993652,-7.954540252685547,2.0725443363189697
322,feature_322,-0.8075191974639893,1.0647782967785306e-06,0.8075191974639893,-0.8532910939749169,5.9508919808721823e-08,0.8532910939749169,0.7752466797828674,4.227349758148193,-4.614494323730469,9.310601234436035
362,feature_362,-0.7848783731460571,3.3935298432444373e-06,0.7848783731460571,-0.8264033301239928,3.5851318465414296e-07,0.8264033301239928,-0.8143664598464966,3.5636134147644043,-6.0066819190979,7.707134246826172
313,feature_313,-0.7778252363204956,4.736499877399034e-06,0.7778252363204956,-0.7417859556519667,2.1979741283559717e-05,0.7417859556519667,-3.6847097873687744,3.7577950954437256,-9.371269226074219,4.408362865447998
20,feature_20,-0.7741734981536865,5.60287215650624e-06,0.7741734981536865,-0.7235971742234003,4.354596132986229e-05,0.7235971742234003,4.672447681427002,3.233961820602417,-0.43574297428131104,11.328392028808594
109,feature_109,-0.7738049030303955,5.6977095687848096e-06,0.7738049030303955,-0.7599747370805331,1.0468593671106109e-05,0.7599747370805331,1.3383593559265137,3.133453845977783,-4.602743148803711,7.621395111083984
194,feature_194,-0.7686348557472229,7.1870912719821935e-06,0.7686348557472229,-0.76788290291904,7.43034150933564e-06,0.76788290291904,-0.19448180496692657,1.5283570289611816,-3.310415029525757,2.7212271690368652
301,feature_301,-0.7620456218719482,9.581802213899193e-06,0.7620456218719482,-0.7663012697513388,7.966023504412485e-06,0.7663012697513388,-4.1348700523376465,3.5597102642059326,-9.863114356994629,3.791043996810913
219,feature_219,0.7563808560371399,1.2181772284108932e-05,0.7563808560371399,0.7670920863351894,7.694037664426668e-06,0.7670920863351894,5.024286270141602,2.9772987365722656,-0.27583277225494385,12.702375411987305
217,feature_217,0.7548121213912964,1.3004535366966944e-05,0.7548121213912964,0.8066329155277251,1.1173186768363826e-06,0.8066329155277251,8.833687782287598,3.31091046333313,1.680962324142456,16.766454696655273
360,feature_360,0.7478502988815308,1.7282101347056085e-05,0.7478502988815308,0.6176277519874052,0.0010034213745256778,0.6176277519874052,1.3314573764801025,2.444533348083496,-3.0469086170196533,4.768795013427734
272,feature_272,0.7439234256744385,2.0208860155847e-05,0.7439234256744385,0.7829084180122037,3.7292992025649937e-06,0.7829084180122037,13.138030052185059,2.389052391052246,8.157115936279297,16.82467269897461
381,feature_381,-0.7438573837280273,2.0261622941690376e-05,0.7438573837280273,-0.6761481791923577,0.00020708262181015616,0.6761481791923577,3.623958110809326,4.40294075012207,-4.593645095825195,13.142569541931152
311,feature_311,0.7437171936035156,2.0374029476048225e-05,0.7437171936035156,0.6571685811799406,0.000358295597380713,0.6571685811799406,0.43650132417678833,2.6990745067596436,-4.431775093078613,5.802316188812256
54,feature_54,0.7433311343193054,2.0686438221187875e-05,0.7433311343193054,0.7338777898134595,2.9786342180735795e-05,0.7338777898134595,-0.04353834688663483,2.7794079780578613,-5.25722599029541,3.953800678253174
2,feature_2,0.742760956287384,2.115560286840073e-05,0.742760956287384,0.6801022621116113,0.00018381958907081358,0.6801022621116113,-0.8321731090545654,3.6212010383605957,-8.234130859375,4.1967902183532715
350,feature_350,-0.7359615564346313,2.752217995249651e-05,0.7359615564346313,-0.6555869480122393,0.00037441095013991416,0.6555869480122393,5.248281478881836,3.627648115158081,-0.14205732941627502,12.583595275878906
