Method,%RMSE,R²,RMSE,MAE
Random Forest,35.64768600463867,0.8377140266162671,4.613351733787903,3.5055017670766495
Gradient Boosting,31.46210289001465,0.8735863856165694,4.071674007649016,2.848636479463886
XGBoost,49.850765228271484,0.6826328589916646,6.45144582938014,4.55032630443573
Stacking Ensemble,48.067665100097656,0.7049304327223286,6.220686071614209,5.201824060169201
Stepwise Regression,51.64863967895508,0.6593282476360598,6.6841184498928445,5.164724922180175
