cluster,method,rmse,mae,r2,percent_rmse,n_features
0,nnls,29.969114711582918,25.804120781204983,0.4746320031544625,13.794387317238687,290
0,linear,45.54496404653318,39.7636604309082,-0.2133791446685791,20.96374485712679,290
0,xgb,41.200182986547524,33.067161560058594,0.007080376148223877,18.963899572178118,290
0,mlp,83.10655340434953,69.84185791015625,-3.040046215057373,38.25284788333435,290
1,nnls,28.64580262850581,19.27091134789495,0.8707304729941665,23.696346491047898,290
1,linear,34.76207847079019,25.178499221801758,0.8096356391906738,28.755844857114678,290
1,xgb,27.167461859487698,21.078800201416016,0.8837287425994873,22.473435213301563,290
1,mlp,59.473113837525354,41.98078536987305,0.4427943229675293,49.19727789345053,290
