cluster,method,rmse,mae,r2,percent_rmse,n_features
0,nnls,29.135781992279046,23.0214650152443,0.5034429600294068,13.410815283001638,30
0,linear,36.76430352491224,28.508296966552734,0.20937877893447876,16.922122897249128,30
0,xgb,29.707564149148634,25.990070343017578,0.48376208543777466,13.673999050985842,30
0,mlp,208.05041831849317,189.96546936035156,-24.31937599182129,95.76285717541107,30
1,nnls,28.54599463138898,20.281648772482963,0.8716297081020035,23.61378343938795,30
1,linear,32.718583974626526,23.76780891418457,0.8313590288162231,27.06542779107454,30
1,xgb,32.46669342019025,21.765727996826172,0.833945631980896,26.857059188764744,30
1,mlp,55.53413839561887,42.68048095703125,0.5141589641571045,45.93888335301405,30
