cluster,method,rmse,mae,r2,percent_rmse,n_features
0,nnls,23.35896745042903,20.231924686172363,0.6808292612831843,10.751823917489697,70
0,linear,32.91686712920235,26.424407958984375,0.36619919538497925,15.151198786489509,70
0,xgb,29.429157605728584,22.780475616455078,0.4933927059173584,13.545852199517268,70
0,mlp,219.4292756932174,215.49923706054688,-27.164688110351562,101.00039479923343,70
1,nnls,30.037778119710126,19.111109030038588,0.8578621378400492,24.84781478727223,70
1,linear,34.787128181403176,22.683568954467773,0.8093612194061279,28.77656644868199,70
1,xgb,43.18187344634248,31.896406173706055,0.7062505483627319,35.720857557639526,70
1,mlp,144.16054147633463,120.58013916015625,-2.273911714553833,119.25231020620535,70
