cluster,method,rmse,mae,r2,percent_rmse,n_features
0,nnls,30.99486395480821,24.57378388177567,0.4380531324485667,14.266526133736507,160
0,linear,33.48378805481841,28.20845603942871,0.34417951107025146,15.412144993992023,160
0,xgb,29.752686451381475,22.626296997070312,0.4821926951408386,13.694768250197614,160
0,mlp,215.7656606425128,208.7344207763672,-26.232057571411133,99.3140812235057,160
1,nnls,26.571418588573305,21.608891904784336,0.8887746832393522,21.980377013661872,160
1,linear,33.14805175211565,23.618488311767578,0.8269027471542358,27.420691610842518,160
1,xgb,37.170480940126566,29.890079498291016,0.7823440432548523,30.74812065903264,160
1,mlp,145.5676791693472,122.37574005126953,-2.3381361961364746,120.41632096082316,160
