cluster,method,rmse,mae,r2,percent_rmse,n_features
0,nnls,32.81844874444926,28.151899030334732,0.36998355771186364,15.105898105055084,250
0,linear,45.21624879701364,39.56306838989258,-0.19592761993408203,20.812441573309645,250
0,xgb,35.87801802962888,26.64540672302246,0.2470386028289795,16.514177400251707,250
0,mlp,74.5234796788066,65.05608367919922,-2.248643636703491,34.30217251364137,250
1,nnls,24.868798196251017,19.528307044333978,0.902572004923981,20.571937414938805,250
1,linear,33.70287870795498,23.825559616088867,0.8210597038269043,27.879654899762862,250
1,xgb,27.31832746756287,21.76705551147461,0.8824338316917419,22.598234080657246,250
1,mlp,59.73576459932211,48.26232147216797,0.43786191940307617,49.41454754158671,250
