cluster,method,rmse,mae,r2,percent_rmse,n_features
0,nnls,29.75745515449018,23.813188101877085,0.4820267147823598,13.69696322119744,140
0,linear,34.353832260981086,28.402873992919922,0.30965501070022583,15.812614840313136,140
0,xgb,32.34069845206172,27.200481414794922,0.3881927728652954,14.885995961213288,140
0,mlp,88.74111421186068,67.57948303222656,-3.6064414978027344,40.846361735490326,140
1,nnls,28.531257922821744,21.635826799873907,0.8717622147671762,23.60159295700296,140
1,linear,33.7774808547148,24.80284309387207,0.8202666640281677,27.94136719812373,140
1,xgb,38.84279306695371,30.15330696105957,0.7623186707496643,32.131488690726165,140
1,mlp,52.153598176294366,37.63330841064453,0.5715080499649048,43.14243692758481,140
