cluster,method,rmse,mae,r2,percent_rmse,n_features
0,nnls,23.377160088078327,18.72305204548253,0.68033190892655,10.760197748097363,50
0,linear,37.55558380587366,33.154701232910156,0.17497926950454712,17.286338750040287,50
0,xgb,33.61651481577731,29.799657821655273,0.33897000551223755,15.473237367445481,50
0,mlp,208.49698364125078,196.32070922851562,-24.428184509277344,95.96840528999002,50
1,nnls,29.584056564941527,19.663826260776464,0.8621237008761238,24.4724877869544,50
1,linear,34.63386020155619,24.34476661682129,0.8110373616218567,28.64978029423076,50
1,xgb,39.71672152569998,28.98800277709961,0.7515031099319458,32.85441874213381,50
1,mlp,61.95795811853995,47.434635162353516,0.3952605128288269,51.25278779913657,50
