cluster,method,rmse,mae,r2,percent_rmse,n_features
0,nnls,26.382589443959937,22.812147071774007,0.5928535765155831,12.143557149554985,90
0,linear,35.85800821196972,28.46463394165039,0.24787825345993042,16.504967145708182,90
0,xgb,31.022915153938023,24.937664031982422,0.4370354413986206,14.27943772986584,90
0,mlp,220.42961426212676,216.47482299804688,-27.422069549560547,101.46083741826664,90
1,nnls,29.31582161311002,19.62898599456256,0.8646125807327159,24.25059879183566,90
1,linear,35.67801873013428,23.100505828857422,0.7994717359542847,29.513527859821657,90
1,xgb,36.309491188814874,26.77030372619629,0.7923105359077454,30.035893749669647,90
1,mlp,143.92612172786772,120.56526184082031,-2.263272762298584,119.05839378305411,90
