cluster,method,rmse,mae,r2,percent_rmse,n_features
0,nnls,32.662164175413636,27.96284107448912,0.3759696667201393,15.033962383972474,260
0,linear,45.268583243859645,39.61616134643555,-0.19869756698608398,20.836530427344037,260
0,xgb,40.10322526627768,33.0953254699707,0.05924957990646362,18.45898443505567,260
0,mlp,68.81718663082101,55.26701736450195,-1.7701904773712158,31.675641259478006,260
1,nnls,24.865145362730093,19.421942094290575,0.9026006240881482,20.568915722375035,260
1,linear,34.52629878248156,24.588748931884766,0.8122092485427856,28.560803466158756,260
1,xgb,27.31163515864736,21.73519515991211,0.882491409778595,22.592698076903268,260
1,mlp,62.82487440297832,50.512855529785156,0.3782190680503845,51.969917248124005,260
