cluster,method,rmse,mae,r2,percent_rmse,n_features
0,nnls,27.34877685840775,22.118427556686434,0.5624863558032324,12.588280443659611,20
0,linear,38.15799513566505,30.83742904663086,0.1482994556427002,17.563620721410082,20
0,xgb,32.18417572336112,28.920669555664062,0.39410048723220825,14.813950618385304,20
0,mlp,86.93930286592192,72.486083984375,-3.421280860900879,40.01701179246822,20
1,nnls,20.021193462877363,13.152539639297576,0.9368528006920799,16.56190764187332,20
1,linear,29.787100602520674,20.358556747436523,0.8602246642112732,24.64044963217877,20
1,xgb,38.96603557857711,27.180461883544922,0.760807991027832,32.23343721336763,20
1,mlp,41.207696110678164,28.484365463256836,0.7324956655502319,34.087780949964966,20
