cluster,method,rmse,mae,r2,percent_rmse,n_features
0,nnls,25.153701079133093,20.31376940843941,0.6298995809018408,11.577916080834399,40
0,linear,31.778481511976484,28.513019561767578,0.409279465675354,14.62721493606505,40
0,xgb,26.903761408577935,23.476839065551758,0.5766088366508484,12.383445715100375,40
0,mlp,205.6845278575907,189.27955627441406,-23.746801376342773,94.67386907276166,40
1,nnls,27.74960195285163,19.842842172469286,0.8786924909527074,22.954992443084176,40
1,linear,34.06389582862532,24.942428588867188,0.8172056674957275,28.178295049300576,40
1,xgb,36.13930938212831,25.5689640045166,0.794252872467041,29.895116159667527,40
1,mlp,69.3857008920516,48.20394515991211,0.24157243967056274,57.39715626700973,40
