cluster,method,rmse,mae,r2,percent_rmse,n_features
0,nnls,31.03477020922273,24.032725655934108,0.4366051744224547,14.284894455092406,190
0,linear,34.3343865192936,29.53512954711914,0.31043630838394165,15.803664222482425,190
0,xgb,35.17086675309641,25.883235931396484,0.276427686214447,16.18868501603395,190
0,mlp,221.9830546742251,218.09091186523438,-27.824081420898438,102.17586550384614,190
1,nnls,31.751705857023452,23.479923030374234,0.8411788652935719,26.265608034356152,190
1,linear,33.16893276223909,23.139039993286133,0.8266845941543579,27.43796477499103,190
1,xgb,34.060104201869194,28.311967849731445,0.8172463178634644,28.175158544363256,190
1,mlp,145.5324276578935,124.45088195800781,-2.336519718170166,120.38716024780096,190
