cluster,method,rmse,mae,r2,percent_rmse,n_features
0,nnls,25.82908698141848,22.49879434709387,0.6097581018662734,11.88878728321685,60
0,linear,41.60070788441436,36.08510971069336,-0.012318730354309082,19.148255887823215,60
0,xgb,35.90309324406725,30.780242919921875,0.245985746383667,16.525719189969372,60
0,mlp,62.45282008306851,51.768707275390625,-1.2814970016479492,28.746207472945635,60
1,nnls,28.37136353868061,18.792419646762124,0.8731955231941062,23.46932531633959,60
1,linear,34.249167773306006,23.37675666809082,0.815211832523346,28.331555485154276,60
1,xgb,43.12675777667648,27.26824378967285,0.7069998979568481,35.6752648394871,60
1,mlp,66.64822458133263,49.782981872558594,0.30023640394210815,55.13266439673199,60
