n_features,cluster,method,split,percent_rmse,rmse,mae,r2
20,0,NNLS,test,16.662392380364395,34.17950528393152,28.052033560599938,0.47098600000756496
20,0,NNLS,train,20.26641291162914,40.4865046259006,31.737231852924744,0.2958561895553854
20,0,LINEAR,test,15.886298223067808,32.587506143315494,30.31861114501953,0.5191186666488647
20,0,LINEAR,train,17.443234184969047,34.84659986944117,29.2424373626709,0.47837114334106445
20,0,XGB,test,16.070392422465215,32.96513790935528,30.685237884521484,0.5079089999198914
20,0,XGB,train,0.22999014647887805,0.4594546242559575,0.3673246502876282,0.9999093413352966
20,0,MLP,test,54.153862729870106,111.08562294464572,90.87496948242188,-4.587934970855713
20,0,MLP,train,54.845951617612045,109.56654655961371,85.39530181884766,-4.1569952964782715
20,1,NNLS,test,18.975961086363085,23.53736535298492,17.595953458757627,0.9491160919280334
20,1,NNLS,train,23.581042131319034,38.26315538506196,29.520770333552015,0.7454079861342184
20,1,LINEAR,test,21.741900843142503,26.96817627757356,21.16002655029297,0.9332013130187988
20,1,LINEAR,train,19.743057152928852,32.03555039729788,24.278629302978516,0.8215372562408447
20,1,XGB,test,20.792866529795525,25.79101495941404,17.67353630065918,0.9389055371284485
20,1,XGB,train,3.7081572991189757,6.0169435319398445,4.811263561248779,0.9937044382095337
20,1,MLP,test,46.548615644962155,57.737880475445884,41.05022430419922,0.6938132047653198
20,1,MLP,train,34.95093992882644,56.71221983758218,41.71593475341797,0.44071072340011597
30,0,NNLS,test,24.846688458386975,50.96792225661567,44.76601791887799,-0.17633083126799454
30,0,NNLS,train,21.255920522266646,42.4632582147141,34.30105288954972,0.22541795166197665
30,0,LINEAR,test,21.993332597482823,45.114843689120214,37.67805480957031,0.07833194732666016
30,0,LINEAR,train,8.503363183609526,16.987290961163254,14.150003433227539,0.8760378956794739
30,0,XGB,test,17.807686194896945,36.528842347413466,30.237606048583984,0.3957628011703491
30,0,XGB,train,0.04585444585386075,0.09160408614368874,0.07396431267261505,0.9999964237213135
30,0,MLP,test,102.57197594390843,210.40552363234193,205.0982208251953,-19.04702377319336
30,0,MLP,train,102.87608772784968,205.51704042791684,199.77171325683594,-17.144142150878906
30,1,NNLS,test,19.832533962212143,24.599839534848893,15.527790984033803,0.9444186219115653
30,1,NNLS,train,24.241248322844562,39.33442152978294,31.17880328021679,0.7309526313992034
30,1,LINEAR,test,23.139814000566453,28.70211705497523,22.730724334716797,0.9243354201316833
30,1,LINEAR,train,20.25390607888047,32.86446591863601,25.350299835205078,0.8121823668479919
30,1,XGB,test,28.22891554822935,35.01452684020948,22.83673095703125,0.8873940706253052
30,1,XGB,train,2.247637657867969,3.6470698993449533,2.456021785736084,0.997687041759491
30,1,MLP,test,130.52456612845168,161.89980504929585,123.99100494384766,-1.4074509143829346
30,1,MLP,train,110.24052105579736,178.87887072157235,162.07203674316406,-4.564181327819824
40,0,NNLS,test,20.254544815066104,41.5480745937781,37.68215534875067,0.21830483458157757
40,0,NNLS,train,21.58993893655861,43.1305316061295,34.58497670288743,0.20088290652129182
40,0,LINEAR,test,26.493137602496436,54.34527743684358,47.28683853149414,-0.3373936414718628
40,0,LINEAR,train,6.739370600296719,13.463337600706073,10.366338729858398,0.922134280204773
40,0,XGB,test,18.29290120175169,37.52416213775632,31.781963348388672,0.3623862862586975
40,0,XGB,train,0.8672446235541688,1.7325070606434605,1.4091278314590454,0.998710572719574
40,0,MLP,test,60.14460855852375,123.37441821671338,114.40951538085938,-5.89264440536499
40,0,MLP,train,59.05399597384301,117.97301730692489,105.70402526855469,-4.978691577911377
40,1,NNLS,test,22.41627191579595,27.80465134454318,18.467753522519665,0.9289932444356747
40,1,NNLS,train,23.05970690015606,37.41722453745101,30.055770759843604,0.7565407085215461
40,1,LINEAR,test,22.732342998579167,28.19669897359995,20.920684814453125,0.92697674036026
40,1,LINEAR,train,19.700997112791114,31.967302783713627,25.274208068847656,0.8222968578338623
40,1,XGB,test,26.441913906666205,32.797969252826846,19.850788116455078,0.9011995792388916
40,1,XGB,train,1.9332647845225461,3.1369610570521775,2.1298882961273193,0.9982888102531433
40,1,MLP,test,69.58926614567622,86.31699730318184,63.869659423828125,0.3156828284263611
40,1,MLP,train,56.69223908055261,91.99016485302926,77.80901336669922,-0.47151947021484375
50,0,NNLS,test,17.874305551280965,36.66549839244954,34.60545087598524,0.391233415087775
50,0,NNLS,train,21.828696795705778,43.607501616115094,33.41510242001391,0.1831106962948269
50,0,LINEAR,test,26.364101134462704,54.08058539621104,50.170379638671875,-0.3243976831436157
50,0,LINEAR,train,4.6822037945052175,9.353705878402847,7.508706569671631,0.9624155759811401
50,0,XGB,test,28.96497109365615,59.4157405458299,50.88999938964844,-0.5985957384109497
50,0,XGB,train,0.20683738594164783,0.4132020214554361,0.3405241072177887,0.9999266266822815
50,0,MLP,test,76.59509646747573,157.11924462410707,138.67396545410156,-10.178779602050781
50,0,MLP,train,69.21344230748049,138.26868940128853,118.97193908691406,-7.212747573852539
50,1,NNLS,test,20.69104268295811,25.664714896205062,16.04593073789669,0.9395024690548152
50,1,NNLS,train,23.88003170280351,38.74830291876782,30.5245608907478,0.7389109932833141
50,1,LINEAR,test,23.06555047734448,28.61000221185766,21.819835662841797,0.9248203039169312
50,1,LINEAR,train,19.501195409906057,31.643099826053113,24.63960838317871,0.8258829712867737
50,1,XGB,test,25.06246488286547,31.086930981234403,19.607955932617188,0.9112393260002136
50,1,XGB,train,1.9047092840032809,3.090626228108562,2.0637006759643555,0.9983389973640442
50,1,MLP,test,42.049150018494466,52.156842136393045,34.82318115234375,0.7501453757286072
50,1,MLP,train,36.33221803021827,58.95351427780302,44.43806457519531,0.395630419254303
60,0,NNLS,test,18.240863211008914,37.41741679537356,34.5352004890286,0.36600880868068686
60,0,NNLS,train,21.97307080436395,43.895919650174044,34.051204253420345,0.17226922449997217
60,0,LINEAR,test,23.07793075946054,47.3396759798269,44.89513397216797,-0.014813423156738281
60,0,LINEAR,train,4.02075997061856,8.032330035902662,6.098580837249756,0.9722844362258911
60,0,XGB,test,20.49833174306864,42.04815383831896,33.4976921081543,0.19937437772750854
60,0,XGB,train,0.01908302940435843,0.03812244236928695,0.029834747314453125,0.9999994039535522
60,0,MLP,test,46.25878303191127,94.89047448736622,79.23738861083984,-3.0773768424987793
60,0,MLP,train,37.46802081307393,74.85040419271294,63.154029846191406,-1.4067394733428955
60,1,NNLS,test,20.5697062687892,25.514211873042402,15.693869911586532,0.9402099278664353
60,1,NNLS,train,23.021117204883442,37.354607987331825,30.50858516592514,0.7573548696706658
60,1,LINEAR,test,23.816843866686067,29.54189003096387,23.419788360595703,0.9198430180549622
60,1,LINEAR,train,19.381555996038482,31.448970090077076,24.738853454589844,0.8280128240585327
60,1,XGB,test,25.8910864342138,32.11473495409662,20.612791061401367,0.9052730798721313
60,1,XGB,train,1.8982812421331472,3.080195935692777,2.085968494415283,0.9983501434326172
60,1,MLP,test,42.68709032617778,52.948129282640856,35.11025619506836,0.7425066232681274
60,1,MLP,train,32.235518447264326,52.30611286799446,40.40207290649414,0.5242397785186768
70,0,NNLS,test,20.83651752181998,42.74187310431125,38.70820334230912,0.17273867385792774
70,0,NNLS,train,21.604787938554566,43.16019567103436,33.90554451471781,0.19978330434581493
70,0,LINEAR,test,13.673503381188226,28.048408079618017,22.970996856689453,0.6437523365020752
70,0,LINEAR,train,6.866028545109929,13.716363999158883,10.765090942382812,0.9191800355911255
70,0,XGB,test,19.810388525735306,40.636978402335416,33.67371368408203,0.2522121071815491
70,0,XGB,train,0.034051562953433694,0.06802529717739358,0.05297718197107315,0.9999980330467224
70,0,MLP,test,56.63067163724681,116.16629210694039,95.2071533203125,-5.110769271850586
70,0,MLP,train,54.303809118368854,108.483500689621,89.87110137939453,-4.055546760559082
70,1,NNLS,test,17.67572884240333,21.924585835229397,11.669901722756254,0.9558503201846489
70,1,NNLS,train,23.354937518491763,37.896272705080705,29.18875209406399,0.7502668429090478
70,1,LINEAR,test,23.331585851864272,28.9399866473438,22.368051528930664,0.9230760931968689
70,1,LINEAR,train,19.11020812911468,31.00867463843031,24.336267471313477,0.8327948451042175
70,1,XGB,test,24.08243411495819,29.871322341628936,18.496540069580078,0.9180453419685364
